"","equil","crop","reg.imp","AE0","AE25","AE50","AE75","weight","scenario"
"47","price","Others","Oceania",6.72817032795492,4.99820059442696,7.66857502448405,11.6439632797576,0.298539594473842,"S2"
"48","price","Others","S. America",10.0404217017541,4.99820059442696,7.66857502448405,11.6439632797576,4.78071721179653,"S2"
"49","price","Rapeseed","Africa",45.4726065850064,10.6188039482231,24.8534167694512,88.3173304243403,0.000253700645748987,"S2"
"50","price","Rapeseed","Asia",76.1207744127448,10.6188039482231,24.8534167694512,88.3173304243403,0.220256869194707,"S2"
"51","price","Rapeseed","Europe",15.8961153614309,10.6188039482231,24.8534167694512,88.3173304243403,0.106382002087253,"S2"
"52","price","Rapeseed","N. America",7.98549323464583,10.6188039482231,24.8534167694512,88.3173304243403,0.049644406654428,"S2"
"53","price","Rapeseed","Oceania",83.9829031693126,10.6188039482231,24.8534167694512,88.3173304243403,0.00491611494382063,"S2"
"54","price","Rapeseed","S. America",513.024520675379,10.6188039482231,24.8534167694512,88.3173304243403,0.000710903849974021,"S2"
"55","price","Rice","Africa",53.4475128220674,16.7339308632854,23.9810108316065,40.9127030796285,0.167938323159191,"S2"
"56","price","Rice","Asia",41.2625521961806,16.7339308632854,23.9810108316065,40.9127030796285,4.51522013041291,"S2"
"57","price","Rice","Europe",22.9448762358499,16.7339308632854,23.9810108316065,40.9127030796285,0.0374388413165915,"S2"
"58","price","Rice","N. America",27.1193554074346,16.7339308632854,23.9810108316065,40.9127030796285,0.0494646295306264,"S2"
"59","price","Rice","Oceania",30.1905226555484,16.7339308632854,23.9810108316065,40.9127030796285,0.00375961435982945,"S2"
"60","price","Rice","S. America",25.2284351293914,16.7339308632854,23.9810108316065,40.9127030796285,0.142772206725587,"S2"
"61","price","Soybeans","Africa",21.1206425000782,14.0186759305998,20.4060258989092,36.424362700679,0.0150226938738549,"S2"
"62","price","Soybeans","Asia",19.437644703865,14.0186759305997,20.4060258989092,36.424362700679,0.554928717896496,"S2"
"63","price","Soybeans","Europe",19.6208023129211,14.0186759305998,20.4060258989092,36.424362700679,0.119229357975081,"S2"
"64","price","Soybeans","N. America",20.7146322083339,14.0186759305997,20.4060258989092,36.424362700679,0.351770380289856,"S2"
"65","price","Soybeans","Oceania",70.9456332787855,14.0186759305998,20.4060258989092,36.424362700679,0.000317140092482584,"S2"
"66","price","Soybeans","S. America",8.16819089381446,14.0186759305997,20.4060258989092,36.4243627006789,0.433109447239746,"S2"
"67","price","Wheat","Africa",18.7272685092457,8.40517627185076,19.4461227724615,33.0054697688296,0.27868780516803,"S2"
"68","price","Wheat","Asia",18.3780770067231,8.40517627185076,19.4461227724615,33.0054697688296,2.35045890852399,"S2"
"69","price","Wheat","Europe",12.2210646848234,8.40517627185074,19.4461227724615,33.0054697688297,1.16070704656581,"S2"
"70","price","Wheat","N. America",27.106321779093,8.40517627185076,19.4461227724615,33.0054697688296,0.328045247012961,"S2"
"71","price","Wheat","Oceania",84.7553794630902,8.40517627185074,19.4461227724615,33.0054697688296,0.0673188728361397,"S2"
"72","price","Wheat","S. America",26.5402854673565,8.40517627185074,19.4461227724615,33.0054697688296,0.159643796618567,"S2"
