!Header: VOA , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r
NSAV_COMM,REG,Value
ROW,depr,9.4742307663
!Header: AG03, dimensions: ENDW_COMM*PROD_COMM*REG [5*7*7], description: Sources of factor income (NETFACTINC + VDEP) by sector - EVFA(j,r)
ENDW_COMM,PROD_COMM,REG,Value
Land,pdr,Africa,581.93103027
UnSkLab,pdr,Africa,3199.7355957
SkLab,pdr,Africa,30.39940834
Capital,pdr,Africa,1032.3363037
Land,wht,Africa,483.27755737
UnSkLab,wht,Africa,2433.8103027
SkLab,wht,Africa,27.289829254
Capital,wht,Africa,1307.5603027
Land,gro,Africa,1811.4154053
UnSkLab,gro,Africa,9595.5400391
SkLab,gro,Africa,83.67830658
Capital,gro,Africa,3138.7890625
Land,osd,Africa,737.11395264
UnSkLab,osd,Africa,4041.0498047
SkLab,osd,Africa,35.15970993
Capital,osd,Africa,1198.7539063
Land,others,Africa,7004.8710938
UnSkLab,others,Africa,36874.003906
SkLab,others,Africa,349.12384033
Capital,others,Africa,13204.005859
Land,Intermediate,Africa,1687.74646
UnSkLab,Intermediate,Africa,206474.04688
SkLab,Intermediate,Africa,102327.54688
Capital,Intermediate,Africa,330051.53125
NatRes,Intermediate,Africa,38284.066406
Land,pdr,Asia,19956.740234
UnSkLab,pdr,Asia,25871.412109
SkLab,pdr,Asia,219.34925842
Capital,pdr,Asia,8498.2802734
Land,wht,Asia,4432.2416992
UnSkLab,wht,Asia,6888.065918
SkLab,wht,Asia,59.177265167
Capital,wht,Asia,2697.4643555
Land,gro,Asia,4823.9980469
UnSkLab,gro,Asia,7132.4033203
SkLab,gro,Asia,59.999378204
Capital,gro,Asia,2161.447998
Land,osd,Asia,9249.3447266
UnSkLab,osd,Asia,10288.03125
SkLab,osd,Asia,66.310028076
Capital,osd,Asia,2886.2312012
Land,others,Asia,82444.601563
UnSkLab,others,Asia,121770.88281
SkLab,others,Asia,1008.913208
Capital,others,Asia,38905.085938
Land,Intermediate,Asia,47210.882813
UnSkLab,Intermediate,Asia,3065427.75
SkLab,Intermediate,Asia,1607220.875
Capital,Intermediate,Asia,4297075.5
NatRes,Intermediate,Asia,157672.95313
Land,pdr,Europe,152.72364807
UnSkLab,pdr,Europe,666.7855835
SkLab,pdr,Europe,41.07818985
Capital,pdr,Europe,211.78361511
Land,wht,Europe,3371.7006836
UnSkLab,wht,Europe,10835.401367
SkLab,wht,Europe,515.25061035
Capital,wht,Europe,3671.0134277
Land,gro,Europe,4611.887207
UnSkLab,gro,Europe,12788.571289
SkLab,gro,Europe,562.43341064
Capital,gro,Europe,3861.7133789
Land,osd,Europe,2223.2978516
UnSkLab,osd,Europe,9042.1171875
SkLab,osd,Europe,555.73266602
Capital,osd,Europe,2986.2165527
Land,others,Europe,22494.796875
UnSkLab,others,Europe,89979.09375
SkLab,others,Europe,5175.7167969
Capital,others,Europe,30831.609375
Land,Intermediate,Europe,14174.636719
UnSkLab,Intermediate,Europe,4178284
SkLab,Intermediate,Europe,3024935.75
Capital,Intermediate,Europe,5519650.5
NatRes,Intermediate,Europe,76192.25
Land,pdr,N_America,262.3302002
UnSkLab,pdr,N_America,335.66763306
SkLab,pdr,N_America,24.544948578
Capital,pdr,N_America,315.47625732
Land,wht,N_America,1559.0266113
UnSkLab,wht,N_America,2260.1320801
SkLab,wht,N_America,172.01531982
Capital,wht,N_America,2239.4567871
Land,gro,N_America,4470.5947266
UnSkLab,gro,N_America,6042.0234375
SkLab,gro,N_America,385.19631958
Capital,gro,N_America,5295.8325195
Land,osd,N_America,2970.9191895
UnSkLab,osd,N_America,3985.2963867
SkLab,osd,N_America,304.92370605
Capital,osd,N_America,3896.6884766
Land,others,N_America,17706.650391
UnSkLab,others,N_America,24415.947266
SkLab,others,N_America,1481.6240234
Capital,others,N_America,20901.376953
Land,Intermediate,N_America,9495.3642578
UnSkLab,Intermediate,N_America,4935896
SkLab,Intermediate,N_America,3750388
Capital,Intermediate,N_America,3743908
NatRes,Intermediate,N_America,59516.414063
Land,pdr,Oceania,7.5239224434
UnSkLab,pdr,Oceania,17.336494446
SkLab,pdr,Oceania,0.94763743877
Capital,pdr,Oceania,10.010810852
Land,wht,Oceania,337.18228149
UnSkLab,wht,Oceania,779.04400635
SkLab,wht,Oceania,42.400173187
Capital,wht,Oceania,448.21072388
Land,gro,Oceania,144.401474
UnSkLab,gro,Oceania,339.86233521
SkLab,gro,Oceania,18.086000443
Capital,gro,Oceania,191.83834839
Land,osd,Oceania,189.23118591
UnSkLab,osd,Oceania,424.046875
SkLab,osd,Oceania,22.988893509
Capital,osd,Oceania,243.31440735
Land,others,Oceania,1472.0463867
UnSkLab,others,Oceania,3554.6013184
SkLab,others,Oceania,177.20904541
Capital,others,Oceania,1900.0296631
Land,Intermediate,Oceania,2581.197998
UnSkLab,Intermediate,Oceania,237726.67188
SkLab,Intermediate,Oceania,165590.46875
Capital,Intermediate,Oceania,232901.53125
NatRes,Intermediate,Oceania,8841.5966797
Land,pdr,S_America,634.58917236
UnSkLab,pdr,S_America,1029.2491455
SkLab,pdr,S_America,20.611185074
Capital,pdr,S_America,892.90106201
Land,wht,S_America,810.81402588
UnSkLab,wht,S_America,1329.6478271
SkLab,wht,S_America,29.624126434
Capital,wht,S_America,868.44177246
Land,gro,S_America,1541.0899658
UnSkLab,gro,S_America,2482.2111816
SkLab,gro,S_America,55.572124481
Capital,gro,S_America,2317.5983887
Land,osd,S_America,2614.8647461
UnSkLab,osd,S_America,4098.9389648
SkLab,osd,S_America,111.56417084
Capital,osd,S_America,5247.5073242
Land,others,S_America,9366.6640625
UnSkLab,others,S_America,15131.722656
SkLab,others,S_America,304.94854736
Capital,others,S_America,13761.805664
Land,Intermediate,S_America,5687.3652344
UnSkLab,Intermediate,S_America,465426.34375
SkLab,Intermediate,S_America,233752.9375
Capital,Intermediate,S_America,593997.9375
NatRes,Intermediate,S_America,27169.154297
Land,pdr,ROW,1.92558486014605E-0003
UnSkLab,pdr,ROW,7.40362983196974E-0003
SkLab,pdr,ROW,2.49993696343154E-0004
Capital,pdr,ROW,3.02768219262362E-0003
Land,wht,ROW,4.23181988298893E-0003
UnSkLab,wht,ROW,0.016269609332
SkLab,wht,ROW,5.49406104255468E-0004
Capital,wht,ROW,6.65387650951743E-0003
Land,gro,ROW,6.23803399503231E-0003
UnSkLab,gro,ROW,0.023982211947
SkLab,gro,ROW,8.09867808129638E-0004
Capital,gro,ROW,9.80833638459444E-0003
Land,osd,ROW,7.44789512827992E-0003
UnSkLab,osd,ROW,0.028633346781
SkLab,osd,ROW,9.66940948273987E-0004
Capital,osd,ROW,0.011710654944
Land,others,ROW,0.091385550797
UnSkLab,others,ROW,0.35132241249
SkLab,others,ROW,0.011864347383
Capital,others,ROW,0.14368952811
Land,Intermediate,ROW,0.14438086748
UnSkLab,Intermediate,ROW,23.752708435
SkLab,Intermediate,ROW,13.581900597
Capital,Intermediate,ROW,36.5353508
NatRes,Intermediate,ROW,0.94952344894
!Header: AG04, dimensions: REG*CAPACCT [7*2], description: S - I = X - M: CAPITALACCT
REG,CAPACCT,Value
Africa,save,73862.671875
Asia,save,2024446.875
Europe,save,1324436.375
N_America,save,784993.125
Oceania,save,92190.757813
S_America,save,164888.5625
ROW,save,11.894808769
Africa,inv,-50001.765625
Asia,inv,-1556604.25
Europe,inv,-1303503.625
N_America,inv,-1339954.5
Oceania,inv,-108625.52344
S_America,inv,-106124.60938
ROW,inv,-12.099995613
!Header: AG05, dimensions: REG*CURACCT*TRAD_COMM [7*2*6], description: X - M = S - I: CURRENTACCT
REG,CURACCT,TRAD_COMM,Value
Africa,export,pdr,89.384910583
Asia,export,pdr,492.98364258
Europe,export,pdr,206.54945374
N_America,export,pdr,532.38232422
Oceania,export,pdr,16.124311447
S_America,export,pdr,134.23379517
ROW,export,pdr,8.47409886773676E-0004
Africa,imp,pdr,-239.76582336
Asia,imp,pdr,-275.84259033
Europe,imp,pdr,-546.87823486
N_America,imp,pdr,-180.68041992
Oceania,imp,pdr,-14.390561104
S_America,imp,pdr,-323.34521484
ROW,imp,pdr,-1.02032185532152E-0003
Africa,export,wht,133.73596191
Asia,export,wht,1403.3078613
Europe,export,wht,5810.3623047
N_America,export,wht,9185.2929688
Oceania,export,wht,2664.3405762
S_America,export,wht,1856.4030762
ROW,export,wht,0.036929570138
Africa,imp,wht,-5010.7944336
Asia,imp,wht,-8173.8823242
Europe,imp,wht,-6010.1464844
N_America,imp,wht,-828.63812256
Oceania,imp,wht,-38.338085175
S_America,imp,wht,-2429.8894043
ROW,imp,wht,-0.039665658027
Africa,export,gro,405.71887207
Asia,export,gro,1169.0332031
Europe,export,gro,5282.7387695
N_America,export,gro,8185.0014648
Oceania,export,gro,731.91033936
S_America,export,gro,2494.5305176
ROW,export,gro,0.031564276665
Africa,imp,gro,-1644.4301758
Asia,imp,gro,-8657.4501953
Europe,imp,gro,-5837.9208984
N_America,imp,gro,-1911.1257324
Oceania,imp,gro,-24.769790649
S_America,imp,gro,-1575.9217529
ROW,imp,gro,-0.034320693463
Africa,export,osd,544.60565186
Asia,export,osd,1243.0380859
Europe,export,osd,2616.8225098
N_America,export,osd,9470.4873047
Oceania,export,osd,501.39297485
S_America,export,osd,8921.6337891
ROW,export,osd,0.041104763746
Africa,imp,osd,-523.57275391
Asia,imp,osd,-14734.595703
Europe,imp,osd,-10200.257813
N_America,imp,osd,-2396.96875
Oceania,imp,osd,-50.784812927
S_America,imp,osd,-1251.4196777
ROW,imp,osd,-0.05161138624
Africa,export,others,14756.037109
Asia,export,others,20526.066406
Europe,export,others,42235.980469
N_America,export,others,20699.564453
Oceania,export,others,3103.9526367
S_America,export,others,18956.109375
ROW,export,others,0.23817141354
Africa,imp,others,-3731.6577148
Asia,imp,others,-30582.554688
Europe,imp,others,-76094.59375
N_America,imp,others,-22437.486328
Oceania,imp,others,-971.03485107
S_America,imp,others,-3039.0563965
ROW,imp,others,-0.27317237854
Africa,export,Intermediate,282558.71875
Asia,export,Intermediate,3259428
Europe,export,Intermediate,4796494.5
N_America,export,Intermediate,1565475.5
Oceania,export,Intermediate,139783.73438
S_America,export,Intermediate,336087.09375
ROW,export,Intermediate,23.311336517
Africa,imp,Intermediate,-263477.46875
Asia,imp,Intermediate,-2753997.25
Europe,imp,Intermediate,-4733025
N_America,imp,Intermediate,-2140756
Oceania,imp,Intermediate,-162136.875
S_America,imp,Intermediate,-301066.59375
ROW,imp,Intermediate,-23.465356827
!Header: AG06, dimensions: REG [7], description: Capital stock by region - VKB
REG,Value
Africa,2633371.25
Asia,30952374
Europe,42808392
N_America,31132282
Oceania,1943806.375
S_America,4178762
ROW,236.85577393
!Header: BI01, dimensions: TRAD_COMM*REG*REG*EXPVALUE [6*7*7*2], description: Decomposition of exports at world prices: VXWD=VXMD+XTAX
TRAD_COMM,REG,REG,EXPVALUE,Value
pdr,Africa,Africa,exprev,17.027051926
wht,Africa,Africa,exprev,57.943775177
gro,Africa,Africa,exprev,284.38519287
osd,Africa,Africa,exprev,105.55025482
others,Africa,Africa,exprev,1390.2001953
Intermediate,Africa,Africa,exprev,27800.382813
pdr,Asia,Africa,exprev,131.55221558
wht,Asia,Africa,exprev,161.55496216
gro,Asia,Africa,exprev,19.184286118
osd,Asia,Africa,exprev,44.357593536
others,Asia,Africa,exprev,530.20526123
Intermediate,Asia,Africa,exprev,67341.796875
pdr,Europe,Africa,exprev,2.0218002796
wht,Europe,Africa,exprev,1245.6740723
gro,Europe,Africa,exprev,124.20791626
osd,Europe,Africa,exprev,36.45275116
others,Europe,Africa,exprev,889.8112793
Intermediate,Europe,Africa,exprev,119186.21094
pdr,N_America,Africa,exprev,67.211166382
wht,N_America,Africa,exprev,2069.8962402
gro,N_America,Africa,exprev,760.96374512
osd,N_America,Africa,exprev,81.581268311
others,N_America,Africa,exprev,253.73139954
Intermediate,N_America,Africa,exprev,22462.681641
pdr,Oceania,Africa,exprev,0.18800278008
wht,Oceania,Africa,exprev,451.79275513
gro,Oceania,Africa,exprev,2.3062324524
osd,Oceania,Africa,exprev,0.92408043146
others,Oceania,Africa,exprev,40.323783875
Intermediate,Oceania,Africa,exprev,3032.2692871
pdr,S_America,Africa,exprev,1.332772851
wht,S_America,Africa,exprev,669.9800415
gro,S_America,Africa,exprev,321.76034546
osd,S_America,Africa,exprev,151.46388245
others,S_America,Africa,exprev,233.88348389
Intermediate,S_America,Africa,exprev,8147.6313477
pdr,ROW,Africa,exprev,1.30758417427046E-0008
wht,ROW,Africa,exprev,4.56039288110333E-0007
gro,ROW,Africa,exprev,5.90187653415342E-0007
osd,ROW,Africa,exprev,1.41351932825273E-0007
others,ROW,Africa,exprev,7.77217501308769E-0004
Intermediate,ROW,Africa,exprev,0.34325388074
pdr,Africa,Asia,exprev,31.741073608
wht,Africa,Asia,exprev,17.29397583
gro,Africa,Asia,exprev,30.541542053
osd,Africa,Asia,exprev,244.96517944
others,Africa,Asia,exprev,3187.2158203
Intermediate,Africa,Asia,exprev,58370.324219
pdr,Asia,Asia,exprev,137.98788452
wht,Asia,Asia,exprev,905.65130615
gro,Asia,Asia,exprev,1057.0853271
osd,Asia,Asia,exprev,646.68548584
others,Asia,Asia,exprev,11066.000977
Intermediate,Asia,Asia,exprev,1518294.375
pdr,Europe,Asia,exprev,3.3903083801
wht,Europe,Asia,exprev,612.64666748
gro,Europe,Asia,exprev,707.28686523
osd,Europe,Asia,exprev,296.04067993
others,Europe,Asia,exprev,1636.2110596
Intermediate,Europe,Asia,exprev,583740.1875
pdr,N_America,Asia,exprev,70.387535095
wht,N_America,Asia,exprev,3826.0412598
gro,N_America,Asia,exprev,4494.8774414
osd,N_America,Asia,exprev,5776.5830078
others,N_America,Asia,exprev,6503.5703125
Intermediate,N_America,Asia,exprev,330907.15625
pdr,Oceania,Asia,exprev,8.8118247986
wht,Oceania,Asia,exprev,2026.3973389
gro,Oceania,Asia,exprev,693.86889648
osd,Oceania,Asia,exprev,401.06420898
others,Oceania,Asia,exprev,1785.2010498
Intermediate,Oceania,Asia,exprev,73205.992188
pdr,S_America,Asia,exprev,0.67641746998
wht,S_America,Asia,exprev,199.5662384
gro,S_America,Asia,exprev,977.75598145
osd,S_America,Asia,exprev,4027.7802734
others,S_America,Asia,exprev,1815.0462646
Intermediate,S_America,Asia,exprev,54203.535156
pdr,ROW,Asia,exprev,1.62721391916421E-0007
wht,ROW,Asia,exprev,8.80129169672728E-0003
gro,ROW,Asia,exprev,7.17519363388419E-0003
osd,ROW,Asia,exprev,9.79620590806007E-0003
others,ROW,Asia,exprev,0.056247346103
Intermediate,ROW,Asia,exprev,5.4889545441
pdr,Africa,Europe,exprev,37.083099365
wht,Africa,Europe,exprev,39.894752502
gro,Africa,Europe,exprev,60.755447388
osd,Africa,Europe,exprev,154.99804688
others,Africa,Europe,exprev,9014.375
Intermediate,Africa,Europe,exprev,126705.79688
pdr,Asia,Europe,exprev,193.34817505
wht,Asia,Europe,exprev,326.6373291
gro,Asia,Europe,exprev,77.282463074
osd,Asia,Europe,exprev,418.72015381
others,Asia,Europe,exprev,6373.8105469
Intermediate,Asia,Europe,exprev,710034.25
pdr,Europe,Europe,exprev,200.37846375
wht,Europe,Europe,exprev,3926.442627
gro,Europe,Europe,exprev,4388.519043
osd,Europe,Europe,exprev,2225.2578125
others,Europe,Europe,exprev,38007.636719
Intermediate,Europe,Europe,exprev,3252759.5
pdr,N_America,Europe,exprev,68.179779053
wht,N_America,Europe,exprev,1119.5001221
gro,N_America,Europe,exprev,310.34243774
osd,N_America,Europe,exprev,1700.4882813
others,N_America,Europe,exprev,3996.942627
Intermediate,N_America,Europe,exprev,361452.875
pdr,Oceania,Europe,exprev,1.0967329741
wht,Oceania,Europe,exprev,159.6477356
gro,Oceania,Europe,exprev,2.8992302418
osd,Oceania,Europe,exprev,88.386550903
others,Oceania,Europe,exprev,781.5769043
Intermediate,Oceania,Europe,exprev,27800.505859
pdr,S_America,Europe,exprev,16.473640442
wht,S_America,Europe,exprev,145.91358948
gro,S_America,Europe,exprev,671.62689209
osd,S_America,Europe,exprev,3666.6984863
others,S_America,Europe,exprev,9541.0976563
Intermediate,S_America,Europe,exprev,86444.835938
pdr,ROW,Europe,exprev,2.34202914839443E-0007
wht,ROW,Europe,exprev,0.011387849227
gro,ROW,Europe,exprev,9.87447518855333E-0003
osd,ROW,Europe,exprev,0.012674489059
others,ROW,Europe,exprev,0.084103986621
Intermediate,ROW,Europe,exprev,8.0005617142
pdr,Africa,N_America,exprev,2.8226697445
wht,Africa,N_America,exprev,15.083834648
gro,Africa,N_America,exprev,19.186014175
osd,Africa,N_America,exprev,31.983224869
others,Africa,N_America,exprev,1041.6868896
Intermediate,Africa,N_America,exprev,52561.617188
pdr,Asia,N_America,exprev,22.395843506
wht,Asia,N_America,exprev,7.7903132439
gro,Asia,N_America,exprev,11.172377586
