!Header: AG01, dimensions: REG*GDPEXPEND [6*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Asia,imp,osd,-7754.0029297
Europe,imp,osd,-5836.1484375
N_America,imp,osd,-1787.0501709
Oceania,imp,osd,-30.779190063
S_America,imp,osd,-703.09643555
Africa,export,others,10307.367188
Asia,export,others,20827.8125
Europe,export,others,30609.699219
N_America,export,others,15946.918945
Oceania,export,others,3196.8237305
S_America,export,others,14342.861328
Africa,imp,others,-2659.3674316
Asia,imp,others,-26054.037109
Europe,imp,others,-54578.632813
N_America,imp,others,-19354.794922
Oceania,imp,others,-690.32116699
S_America,imp,others,-3333.6582031
Africa,export,Intermediate,159091
Asia,export,Intermediate,2103919.25
Europe,export,Intermediate,3110584.25
N_America,export,Intermediate,1309406.875
Oceania,export,Intermediate,92262.976563
S_America,export,Intermediate,226326.01563
Africa,imp,Intermediate,-163010.51563
Asia,imp,Intermediate,-1787338.125
Europe,imp,Intermediate,-3010128.25
N_America,imp,Intermediate,-1672080.125
Oceania,imp,Intermediate,-95290.359375
S_America,imp,Intermediate,-259951.57813
!Header: AG06, dimensions: REG [6], description: Capital stock by region - VKB
REG,Value
Africa,1664910.125
Asia,25014572
Europe,27264294
N_America,26138868
Oceania,1105611.125
S_America,3563330.75
!Header: BI01, dimensions: TRAD_COMM*REG*REG*EXPVALUE [6*6*6*2], description: Decomposition of exports at world prices: VXWD=VXMD+XTAX
TRAD_COMM,REG,REG,EXPVALUE,Value
pdr,Africa,Africa,exprev,22.97974968
wht,Africa,Africa,exprev,22.525121689
gro,Africa,Africa,exprev,109.80797577
osd,Africa,Africa,exprev,69.640487671
others,Africa,Africa,exprev,953.53894043
Intermediate,Africa,Africa,exprev,16170.504883
pdr,Asia,Africa,exprev,14.360025406
wht,Asia,Africa,exprev,127.36843872
gro,Asia,Africa,exprev,52.67622757
osd,Asia,Africa,exprev,57.632919312
others,Asia,Africa,exprev,540.03479004
Intermediate,Asia,Africa,exprev,36960.40625
pdr,Europe,Africa,exprev,8.141119957
wht,Europe,Africa,exprev,1251.416626
gro,Europe,Africa,exprev,214.72267151
osd,Europe,Africa,exprev,15.137793541
others,Europe,Africa,exprev,552.10821533
Intermediate,Europe,Africa,exprev,76824.625
pdr,N_America,Africa,exprev,3.728456974
wht,N_America,Africa,exprev,1340.2305908
gro,N_America,Africa,exprev,705.40942383
osd,N_America,Africa,exprev,77.194412231
others,N_America,Africa,exprev,181.24617004
Intermediate,N_America,Africa,exprev,19817.333984
pdr,Oceania,Africa,exprev,0.18558554351
wht,Oceania,Africa,exprev,303.6890564
gro,Oceania,Africa,exprev,12.906217575
osd,Oceania,Africa,exprev,0.44316479564
others,Oceania,Africa,exprev,74.638961792
Intermediate,Oceania,Africa,exprev,1983.8146973
pdr,S_America,Africa,exprev,1.3025194407
wht,S_America,Africa,exprev,168.9499054
gro,S_America,Africa,exprev,234.49659729
osd,S_America,Africa,exprev,49.099529266
others,S_America,Africa,exprev,134.05059814
Intermediate,S_America,Africa,exprev,4278.5126953
pdr,Africa,Asia,exprev,3.4539749622
wht,Africa,Asia,exprev,38.674209595
gro,Africa,Asia,exprev,135.92747498
osd,Africa,Asia,exprev,148.96612549
others,Africa,Asia,exprev,2009.8149414
Intermediate,Africa,Asia,exprev,26204.130859
pdr,Asia,Asia,exprev,1160.5407715
wht,Asia,Asia,exprev,746.20281982
gro,Asia,Asia,exprev,1028.1906738
osd,Asia,Asia,exprev,536.61682129
others,Asia,Asia,exprev,10697.473633
Intermediate,Asia,Asia,exprev,899309.4375
pdr,Europe,Asia,exprev,10.428283691
wht,Europe,Asia,exprev,391.43536377
gro,Europe,Asia,exprev,743.25372314
osd,Europe,Asia,exprev,192.96691895
others,Europe,Asia,exprev,1899.3265381
Intermediate,Europe,Asia,exprev,437470.1875
pdr,N_America,Asia,exprev,47.906345367
wht,N_America,Asia,exprev,3065.5776367
gro,N_America,Asia,exprev,2888.4516602
osd,N_America,Asia,exprev,3943.1774902
others,N_America,Asia,exprev,4657.7475586
Intermediate,N_America,Asia,exprev,274032.15625
pdr,Oceania,Asia,exprev,9.6888971329
wht,Oceania,Asia,exprev,1289.7598877
gro,Oceania,Asia,exprev,483.37902832
osd,Oceania,Asia,exprev,301.61270142
others,Oceania,Asia,exprev,2161.3605957
Intermediate,Oceania,Asia,exprev,43919.453125
pdr,S_America,Asia,exprev,0.65340363979
wht,S_America,Asia,exprev,459.99349976
gro,S_America,Asia,exprev,1095.6213379
osd,S_America,Asia,exprev,2219.9289551
others,S_America,Asia,exprev,1557.772583
