!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Europe,exp,gro,4812.4365234
N_America,exp,gro,9465.9609375
Oceania,exp,gro,94.740005493
S_America,exp,gro,857.80596924
ROW,exp,gro,37.940998077
Africa,imp,gro,-1117.1339111
Asia,imp,gro,-8176.6870117
Europe,imp,gro,-5180.8837891
N_America,imp,gro,-1364.0958252
Oceania,imp,gro,-54.316001892
S_America,imp,gro,-1249.6850586
ROW,imp,gro,-96.48299408
Africa,exp,others,11238.908203
Asia,exp,others,21190.259766
Europe,exp,others,36096.410156
N_America,exp,others,15732.569336
Oceania,exp,others,2974.4160156
S_America,exp,others,19093.574219
ROW,exp,others,1319.3690186
Africa,imp,others,-3318.4230957
Asia,imp,others,-28038.765625
Europe,imp,others,-63278.191406
N_America,imp,others,-17604.908203
Oceania,imp,others,-803.30401611
S_America,imp,others,-4127.5288086
ROW,imp,others,-732.8170166
Africa,exp,osd,229.897995
Asia,exp,osd,922.32897949
Europe,exp,osd,1854.5380859
N_America,exp,osd,7362.4555664
Oceania,exp,osd,66.395996094
S_America,exp,osd,2108.670166
ROW,exp,osd,87.749015808
Africa,imp,osd,-289.26699829
Asia,imp,osd,-4583.7890625
Europe,imp,osd,-6684.965332
N_America,imp,osd,-1231.4260254
Oceania,imp,osd,-39.433002472
S_America,imp,osd,-473.74700928
ROW,imp,osd,-45.925998688
Africa,exp,Intermediate,118991.48438
Asia,exp,Intermediate,1638003.25
Europe,exp,Intermediate,2698397.75
N_America,exp,Intermediate,1002098.375
Oceania,exp,Intermediate,78575.992188
S_America,exp,Intermediate,170387.46875
ROW,exp,Intermediate,30160.423828
Africa,imp,Intermediate,-132739.20313
Asia,imp,Intermediate,-1539151.875
Europe,imp,Intermediate,-2599329
N_America,imp,Intermediate,-1113164.25
Oceania,imp,Intermediate,-86924.9375
S_America,imp,Intermediate,-207220.3125
ROW,imp,Intermediate,-44910.859375
!Header: AG06, dimensions: REG [7], description: Capital stock by region - VKB
REG,Value
Africa,1618999.5
Asia,27448388
Europe,29500806
N_America,17889854
Oceania,1226846.25
S_America,3699970.25
ROW,490014.15625
!Header: BI01, dimensions: TRAD_COMM*REG*REG*EXPVALUE [6*7*7*2], description: Decomposition of exports at world prices: VXWD=VXMD+XTAX
TRAD_COMM,REG,REG,EXPVALUE,Value
pdr,Africa,Africa,exprev,1.0101236105
wht,Africa,Africa,exprev,2.7173714638
gro,Africa,Africa,exprev,110.20417786
others,Africa,Africa,exprev,469.54083252
osd,Africa,Africa,exprev,50.767364502
Intermediate,Africa,Africa,exprev,7233.7832031
pdr,Asia,Africa,exprev,31.445106506
wht,Asia,Africa,exprev,35.809474945
gro,Asia,Africa,exprev,34.759414673
others,Asia,Africa,exprev,744.14874268
osd,Asia,Africa,exprev,28.934242249
Intermediate,Asia,Africa,exprev,29868.285156
pdr,Europe,Africa,exprev,4.0858044624
wht,Europe,Africa,exprev,1125.3105469
gro,Europe,Africa,exprev,290.39318848
others,Europe,Africa,exprev,735.73980713
osd,Europe,Africa,exprev,68.673683167
Intermediate,Europe,Africa,exprev,75027.734375
pdr,N_America,Africa,exprev,32.430122375
wht,N_America,Africa,exprev,1779.7489014
gro,N_America,Africa,exprev,603.2635498
others,N_America,Africa,exprev,284.58050537
osd,N_America,Africa,exprev,43.239509583
Intermediate,N_America,Africa,exprev,12078.655273
pdr,Oceania,Africa,exprev,0.76282936335
wht,Oceania,Africa,exprev,256.41000366
gro,Oceania,Africa,exprev,5.2150001526
others,Oceania,Africa,exprev,37.568664551
osd,Oceania,Africa,exprev,1.6660000086
Intermediate,Oceania,Africa,exprev,1214.0854492
pdr,S_America,Africa,exprev,9.99999977648258E-0003
wht,S_America,Africa,exprev,43.849498749
gro,S_America,Africa,exprev,68.08139801
others,S_America,Africa,exprev,823.28265381
osd,S_America,Africa,exprev,68.920272827
Intermediate,S_America,Africa,exprev,3850.6513672
pdr,ROW,Africa,exprev,1.8044652939
wht,ROW,Africa,exprev,7.356751442
gro,ROW,Africa,exprev,0.49206343293
others,ROW,Africa,exprev,18.085176468
osd,ROW,Africa,exprev,0.10495834053
Intermediate,ROW,Africa,exprev,500.57519531
pdr,Africa,Asia,exprev,1.6186420918
wht,Africa,Asia,exprev,3.1564779282
gro,Africa,Asia,exprev,148.41821289
others,Africa,Asia,exprev,1556.0560303
osd,Africa,Asia,exprev,67.225296021
Intermediate,Africa,Asia,exprev,20407.945313
pdr,Asia,Asia,exprev,91.863739014
wht,Asia,Asia,exprev,229.08558655
gro,Asia,Asia,exprev,238.23234558
others,Asia,Asia,exprev,10466.931641
osd,Asia,Asia,exprev,439.86190796
Intermediate,Asia,Asia,exprev,759886.5
pdr,Europe,Asia,exprev,0.3766939342
wht,Europe,Asia,exprev,596.29797363
gro,Europe,Asia,exprev,930.94897461
others,Europe,Asia,exprev,2184.6306152
osd,Europe,Asia,exprev,54.039352417
Intermediate,Europe,Asia,exprev,358513.625
pdr,N_America,Asia,exprev,15.685435295
wht,N_America,Asia,exprev,4664.6791992
gro,N_America,Asia,exprev,6117.6582031
others,N_America,Asia,exprev,6254.8032227
osd,N_America,Asia,exprev,3300.3364258
Intermediate,N_America,Asia,exprev,248961.67188
pdr,Oceania,Asia,exprev,1.1168107986
wht,Oceania,Asia,exprev,909.64599609
gro,Oceania,Asia,exprev,52.495998383
others,Oceania,Asia,exprev,2160.0339355
osd,Oceania,Asia,exprev,50.159000397
Intermediate,Oceania,Asia,exprev,44613.367188
pdr,S_America,Asia,exprev,0.31762871146
wht,S_America,Asia,exprev,125.80725098
gro,S_America,Asia,exprev,293.05703735
others,S_America,Asia,exprev,2428.4472656
osd,S_America,Asia,exprev,221.68141174
Intermediate,S_America,Asia,exprev,31502.400391
pdr,ROW,Asia,exprev,3.5245170593
wht,ROW,Asia,exprev,11.562609673
gro,ROW,Asia,exprev,19.654535294
others,ROW,Asia,exprev,499.19207764
osd,ROW,Asia,exprev,58.178913116
Intermediate,ROW,Asia,exprev,10109.720703
pdr,Africa,Europe,exprev,4.7149538994
wht,Africa,Europe,exprev,0.046895354986
gro,Africa,Europe,exprev,25.00868988
others,Africa,Europe,exprev,7373.4492188
osd,Africa,Europe,exprev,90.665527344
Intermediate,Africa,Europe,exprev,59727.492188
pdr,Asia,Europe,exprev,115.04278564
wht,Asia,Europe,exprev,36.526355743
gro,Asia,Europe,exprev,25.661752701
others,Asia,Europe,exprev,5450.0229492
osd,Asia,Europe,exprev,226.5239563
Intermediate,Asia,Europe,exprev,319776.59375
pdr,Europe,Europe,exprev,85.892303467
wht,Europe,Europe,exprev,4120.7827148
gro,Europe,Europe,exprev,3857.333252
others,Europe,Europe,exprev,31332.052734
osd,Europe,Europe,exprev,1697.1671143
Intermediate,Europe,Europe,exprev,1823830.75
pdr,N_America,Europe,exprev,57.161365509
wht,N_America,Europe,exprev,711.17871094
gro,N_America,Europe,exprev,813.12542725
others,N_America,Europe,exprev,3057.6105957
osd,N_America,Europe,exprev,2835.2209473
Intermediate,N_America,Europe,exprev,228079.29688
pdr,Oceania,Europe,exprev,0.24584555626
wht,Oceania,Europe,exprev,20.51499939
gro,Oceania,Europe,exprev,13.078000069
others,Oceania,Europe,exprev,323.70819092
osd,Oceania,Europe,exprev,6.2119998932
Intermediate,Oceania,Europe,exprev,11323.53418
pdr,S_America,Europe,exprev,41.241027832
wht,S_America,Europe,exprev,8.1630001068
gro,S_America,Europe,exprev,111.2609024
others,S_America,Europe,exprev,8133.6582031
osd,S_America,Europe,exprev,1341.026123
Intermediate,S_America,Europe,exprev,39719.542969
pdr,ROW,Europe,exprev,0.097323939204
wht,ROW,Europe,exprev,15.035491943
gro,ROW,Europe,exprev,15.826041222
others,ROW,Europe,exprev,598.81451416
osd,ROW,Europe,exprev,23.904512405
Intermediate,ROW,Europe,exprev,12041.494141
pdr,Africa,N_America,exprev,2.9088602066
wht,Africa,N_America,exprev,0.012574500404
gro,Africa,N_America,exprev,0.045324999839
others,Africa,N_America,exprev,657.63250732
osd,Africa,N_America,exprev,6.014582634
Intermediate,Africa,N_America,exprev,17886.1875
pdr,Asia,N_America,exprev,10.279340744
