!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Land,Intermediate,ROW,2869.048584
UnSkLab,Intermediate,ROW,71287.367188
SkLab,Intermediate,ROW,27964.583984
Capital,Intermediate,ROW,99751.5625
NatlRes,Intermediate,ROW,1355.0128174
!Header: AG04, dimensions: REG*CAPACCT [7*2], description: S - I = X - M: CAPITALACCT
REG,CAPACCT,Value
Africa,save,29981.960938
Asia,save,1364116.125
Europe,save,756974.125
N_America,save,640988.0625
Oceania,save,49546.789063
S_America,save,104202.00781
ROW,save,13756.589844
Africa,inv,-37682.859375
Asia,inv,-1275557.875
Europe,inv,-659215.625
N_America,inv,-759703.125
Oceania,inv,-49795.335938
S_America,inv,-152413.85938
ROW,inv,-25195.816406
!Header: AG05, dimensions: REG*CURACCT*TRAD_COMM [7*2*6], description: X - M = S - I: CURRENTACCT
REG,CURACCT,TRAD_COMM,Value
Africa,export,pdr,19.977331161
Asia,export,pdr,488.16921997
Europe,export,pdr,191.95602417
N_America,export,pdr,332.09436035
Oceania,export,pdr,26.759880066
S_America,export,pdr,189.3419342
ROW,export,pdr,3.2658238411
Africa,imp,pdr,-33.762329102
Asia,imp,pdr,-279.359375
Europe,imp,pdr,-588.90325928
N_America,imp,pdr,-137.13095093
Oceania,imp,pdr,-2.8784410954
S_America,imp,pdr,-265.271698
ROW,imp,pdr,-1.7791827917
Africa,export,wht,80.380302429
Asia,export,wht,551.40368652
Europe,export,wht,4673.2661133
N_America,export,wht,7841.0629883
Oceania,export,wht,2204.1948242
S_America,export,wht,1596.0349121
ROW,export,wht,12.902072906
Africa,imp,wht,-3153.0854492
Asia,imp,wht,-6773.9321289
Europe,imp,wht,-4971.7832031
N_America,imp,wht,-718.94464111
Oceania,imp,wht,-8.039478302
S_America,imp,wht,-2096.3706055
ROW,imp,wht,-120.43389893
Africa,export,gro,366.43835449
Asia,export,gro,1087.6083984
Europe,export,gro,3715.4338379
N_America,export,gro,7057.5268555
Oceania,export,gro,245.77687073
S_America,export,gro,1614.71875
ROW,export,gro,40.196495056
Africa,imp,gro,-1320.1149902
Asia,imp,gro,-7792.1254883
Europe,imp,gro,-4102.7495117
N_America,imp,gro,-1440.225708
Oceania,imp,gro,-5.0630235672
S_America,imp,gro,-1433.598999
ROW,imp,gro,-149.97926331
Africa,export,osd,265.24584961
Asia,export,osd,1009.9951782
Europe,export,osd,2072.9624023
N_America,export,osd,9142.8564453
Oceania,export,osd,175.33876038
S_America,export,osd,2958.9255371
ROW,export,osd,109.88943481
Africa,imp,osd,-214.31452942
Asia,imp,osd,-6416.3203125
Europe,imp,osd,-7352.2255859
N_America,imp,osd,-2014.5646973
Oceania,imp,osd,-37.969917297
S_America,imp,osd,-1026.1031494
ROW,imp,osd,-72.489601135
Africa,export,others,10018.425781
Asia,export,others,15078.808594
Europe,export,others,30419.478516
N_America,export,others,15328.789063
Oceania,export,others,2477.3671875
S_America,export,others,17365.556641
ROW,export,others,796.83135986
Africa,imp,others,-1783.5953369
Asia,imp,others,-20609.621094
Europe,imp,others,-56615.644531
N_America,imp,others,-16405.779297
Oceania,imp,others,-611.76641846
S_America,imp,others,-3789.9423828
ROW,imp,others,-485.3500061
Africa,export,Intermediate,136736.9375
Asia,export,Intermediate,1783630.375
Europe,export,Intermediate,2868044.25
N_America,export,Intermediate,1183155.25
Oceania,export,Intermediate,84204.453125
S_America,export,Intermediate,187269.28125
ROW,export,Intermediate,26515.396484
Africa,imp,Intermediate,-148683.40625
Asia,imp,Intermediate,-1671416.5
Europe,imp,Intermediate,-2737727.5
N_America,imp,Intermediate,-1320856.75
Oceania,imp,Intermediate,-88916.640625
S_America,imp,Intermediate,-250594.70313
ROW,imp,Intermediate,-38087.695313
!Header: AG06, dimensions: REG [7], description: Capital stock by region - VKB
REG,Value
Africa,1634853.75
Asia,25378696
Europe,28350740
N_America,20892262
Oceania,1233724
S_America,4226390.5
ROW,450586.34375
!Header: BI01, dimensions: TRAD_COMM*REG*REG*EXPVALUE [6*7*7*2], description: Decomposition of exports at world prices: VXWD=VXMD+XTAX
TRAD_COMM,REG,REG,EXPVALUE,Value
pdr,Africa,Africa,exprev,11.450751305
wht,Africa,Africa,exprev,17.257637024
gro,Africa,Africa,exprev,224.59078979
osd,Africa,Africa,exprev,55.02223587
others,Africa,Africa,exprev,517.22393799
Intermediate,Africa,Africa,exprev,8553.8056641
